Beneficiary ID,Age,Gender,State,District,Program Category,Enrollment Date,Program Completion Status,Attendance Percentage,Training Hours,Funds Allocated,Funds Utilized,Volunteer Count,Satisfaction Score,Employment Obtained After Training (Yes/No),Monthly Donation Amount,Donor Type,Event Participation Count
BEN-00629,28,Male,Delhi,South Delhi,Skill Development,2022-11-04,Completed,73.57,193,17900.0,12775.15,3,4.0,No,17900.0,Government,3
BEN-00630,38,Non-binary,Karnataka,Bangalore,Skill Development,2024-10-10,Completed,100.0,228,20100.0,16761.07,4,4.0,No,0.0,None,3
BEN-00631,15,Male,Maharashtra,Pune,Women Empowerment,2022-03-14,Completed,73.95,126,21000.0,19807.91,2,4.0,Yes,0.0,None,5
BEN-00632,43,Female,Maharashtra,Mumbai,Women Empowerment,2025-07-19,Completed,62.53,106,14300.0,10277.48,7,4.0,No,0.0,None,5
BEN-00633,26,Male,Uttar Pradesh,Varanasi,Women Empowerment,2024-11-07,Completed,70.47,112,19100.0,16036.98,3,3.0,No,22100.0,CSR,0
BEN-00634,23,Female,Delhi,South Delhi,Digital Literacy,2025-01-09,Completed,82.16,62,10000.0,8003.76,5,5.0,No,0.0,None,2
BEN-00635,17,Female,West Bengal,Howrah,Health Awareness,2025-10-17,Completed,75.92,10,3200.0,2451.08,3,4.0,No,0.0,None,6
BEN-00636,15,Female,Uttar Pradesh,Varanasi,Skill Development,2025-10-25,Completed,62.35,185,15200.0,13190.16,10,3.0,No,0.0,None,3
BEN-00637,36,Female,Karnataka,Mysore,Skill Development,2024-05-29,Completed,60.73,226,16500.0,12522.01,8,3.0,No,0.0,None,2
BEN-00638,28,Male,Maharashtra,Nagpur,Women Empowerment,2024-03-04,Completed,70.12,112,13400.0,13107.78,3,3.0,No,2500.0,Individual,2
BEN-00639,15,Female,Uttar Pradesh,Lucknow,Skill Development,2023-06-05,Completed,60.21,219,21700.0,18799.41,3,3.0,No,0.0,None,3
BEN-00640,15,Female,West Bengal,Kolkata,Skill Development,2025-01-15,Completed,69.2,225,18300.0,16157.93,2,4.0,No,0.0,None,5
BEN-00641,24,Male,Maharashtra,Mumbai,Education,2024-05-09,Completed,94.13,74,6400.0,5867.65,10,4.0,No,0.0,None,3
BEN-00642,44,Male,Uttar Pradesh,Noida,Education,2025-10-14,Completed,69.07,72,6000.0,5476.49,5,4.0,No,6500.0,CSR,2
BEN-00643,25,Male,Uttar Pradesh,Kanpur,Skill Development,2022-11-25,Completed,81.13,194,15400.0,15387.59,6,5.0,Yes,0.0,None,3
BEN-00644,15,Female,Uttar Pradesh,Kanpur,Health Awareness,2023-04-19,Completed,81.82,10,1700.0,1268.22,10,5.0,No,1100.0,Individual,3
BEN-00645,25,Male,Karnataka,Bangalore,Skill Development,2023-04-30,Completed,63.24,202,29100.0,23050.26,3,4.0,No,29100.0,Government,1
BEN-00646,25,Male,Delhi,South Delhi,Skill Development,2025-05-12,Completed,74.03,195,24800.0,23542.67,3,3.0,No,24800.0,Government,1
BEN-00647,15,Female,West Bengal,Howrah,Skill Development,2021-12-17,Completed,71.22,207,27500.0,22170.02,7,3.0,No,0.0,None,1
BEN-00648,27,Female,Uttar Pradesh,Kanpur,Education,2023-12-31,Dropped Out,76.82,91,9800.0,8656.75,3,3.0,No,0.0,None,2
BEN-00649,25,Female,Uttar Pradesh,Lucknow,Digital Literacy,2023-11-15,Completed,73.04,64,9800.0,9295.58,1,,No,10300.0,Corporate,5
BEN-00650,34,Female,Uttar Pradesh,Lucknow,Digital Literacy,2021-09-30,Completed,65.68,62,10200.0,8682.26,3,3.0,No,11700.0,Corporate,0
BEN-00651,46,Male,Maharashtra,Pune,Education,2023-10-17,Completed,62.36,64,5600.0,5214.02,10,4.0,No,0.0,None,0
BEN-00652,39,Male,West Bengal,Kolkata,Health Awareness,2024-04-01,Completed,75.88,12,3200.0,2797.08,4,4.0,No,0.0,None,4
BEN-00653,25,Female,Delhi,South Delhi,Skill Development,2021-09-05,Completed,73.38,234,16900.0,14025.66,8,4.0,No,2600.0,Individual,1
BEN-00654,16,Male,Uttar Pradesh,Noida,Digital Literacy,2024-03-26,Dropped Out,54.47,41,9900.0,7669.06,10,3.0,No,0.0,None,4
BEN-00655,53,Male,Karnataka,Mysore,Skill Development,2025-11-14,Ongoing,78.65,213,28500.0,25966.15,5,,No,0.0,None,2
BEN-00656,28,Male,Karnataka,Mysore,Education,2025-12-06,Ongoing,76.41,78,7800.0,6656.4,6,,No,0.0,None,1
BEN-00657,28,Female,Uttar Pradesh,Kanpur,Women Empowerment,2024-04-29,Completed,91.2,109,24600.0,23036.73,5,5.0,No,30300.0,CSR,1
BEN-00658,27,Male,Karnataka,Mysore,Health Awareness,2024-04-03,Completed,77.57,12,3300.0,3205.39,9,3.0,No,2100.0,Individual,1
BEN-00659,29,Female,Uttar Pradesh,Kanpur,Education,2023-03-02,Completed,82.95,93,8500.0,6694.99,6,5.0,No,9500.0,Corporate,6
BEN-00660,26,Male,Uttar Pradesh,Varanasi,Health Awareness,2025-12-27,Ongoing,86.35,12,2000.0,1705.28,2,,No,0.0,None,3
BEN-00661,22,Female,Uttar Pradesh,Varanasi,Education,2023-02-07,Completed,92.37,77,7300.0,5876.85,7,4.0,No,0.0,None,3
BEN-00662,22,Female,Maharashtra,Nagpur,Digital Literacy,2023-12-27,Completed,74.58,54,11600.0,9773.22,2,,No,2400.0,Individual,1
BEN-00663,27,Male,Maharashtra,Pune,Education,2021-01-14,Completed,84.45,81,8200.0,7361.12,2,,No,7300.0,Corporate,4
BEN-00664,22,Female,Uttar Pradesh,Varanasi,Digital Literacy,2023-07-01,Completed,67.0,65,11500.0,10785.53,3,4.0,No,0.0,None,3
BEN-00665,20,Female,Uttar Pradesh,Varanasi,Skill Development,2021-09-25,Dropped Out,52.33,192,19100.0,16517.39,8,1.0,No,0.0,None,3
BEN-00666,29,Female,Karnataka,Mysore,Skill Development,2025-02-21,Completed,87.44,194,21400.0,19756.71,9,4.0,No,0.0,None,3
BEN-00667,25,Male,West Bengal,Kolkata,Digital Literacy,2024-06-12,Completed,76.03,76,11400.0,10006.87,3,3.0,No,10300.0,CSR,1
BEN-00668,43,Female,Karnataka,Bangalore,Digital Literacy,2024-06-28,Completed,70.31,66,10600.0,9686.27,1,4.0,No,10600.0,Government,3
BEN-00669,15,Male,Uttar Pradesh,Noida,Women Empowerment,2023-03-04,Dropped Out,52.35,133,16200.0,18047.16,9,3.0,No,0.0,None,3
BEN-00670,38,Female,Uttar Pradesh,Varanasi,Education,2025-05-23,Dropped Out,72.2,68,5800.0,5448.27,9,3.0,No,0.0,None,4
BEN-00671,40,Female,Uttar Pradesh,Lucknow,Skill Development,2021-01-15,Dropped Out,56.29,185,16100.0,13085.27,6,3.0,No,1100.0,Individual,3
BEN-00672,15,Female,Uttar Pradesh,Noida,Skill Development,2023-06-02,Completed,73.63,201,26700.0,24440.71,3,3.0,No,0.0,None,0
BEN-00673,24,Female,Maharashtra,Mumbai,Skill Development,2024-10-31,Completed,71.91,179,20700.0,15964.52,3,3.0,No,0.0,None,5
BEN-00674,24,Female,Delhi,New Delhi,Women Empowerment,2025-09-14,Completed,86.9,139,16300.0,16865.01,3,5.0,Yes,0.0,None,2
BEN-00675,15,Female,Delhi,South Delhi,Education,2022-11-17,Completed,69.63,91,5300.0,5349.26,4,4.0,No,0.0,None,2
BEN-00676,20,Male,Delhi,South Delhi,Health Awareness,2024-05-13,Completed,82.92,11,3400.0,2745.54,5,5.0,No,0.0,None,4
BEN-00677,16,Male,Uttar Pradesh,Varanasi,Health Awareness,2024-05-08,Completed,69.64,14,2000.0,1888.2,8,3.0,No,1900.0,CSR,1
BEN-00678,45,Female,Uttar Pradesh,Lucknow,Education,2025-08-05,Dropped Out,90.7,79,7200.0,6126.2,5,2.0,No,8100.0,CSR,2
BEN-00679,37,Female,Delhi,New Delhi,Women Empowerment,2021-07-18,Completed,72.15,151,18400.0,16600.7,9,3.0,No,0.0,None,0
BEN-00680,40,Male,Uttar Pradesh,Varanasi,Women Empowerment,2023-11-09,Dropped Out,56.66,121,24100.0,19508.89,10,2.0,No,0.0,None,2
BEN-00681,35,Female,Uttar Pradesh,Noida,Women Empowerment,2022-07-22,Completed,69.92,126,19900.0,18770.29,3,3.0,No,20900.0,CSR,2
BEN-00682,16,Female,Maharashtra,Pune,Education,2021-04-02,Completed,86.16,91,5900.0,5089.96,4,4.0,No,0.0,None,1
BEN-00683,22,Male,Uttar Pradesh,Noida,Women Empowerment,2022-04-26,Completed,76.53,135,18400.0,16321.16,7,3.0,No,18400.0,Government,0
BEN-00684,32,Male,Uttar Pradesh,Varanasi,Skill Development,2025-12-04,Ongoing,79.59,210,17200.0,13713.28,4,,No,17200.0,Government,5
BEN-00685,15,Male,Karnataka,Bangalore,Skill Development,2022-10-04,Completed,89.73,197,26500.0,22660.04,2,5.0,Yes,1700.0,Individual,0
BEN-00686,35,Female,Karnataka,Bangalore,Health Awareness,2025-10-16,Completed,73.95,12,1900.0,1481.36,3,3.0,No,0.0,None,5
BEN-00687,25,Female,Uttar Pradesh,Varanasi,Health Awareness,2022-09-13,Completed,83.14,11,2800.0,3215.42,10,4.0,No,2400.0,Individual,3
BEN-00688,24,Male,Uttar Pradesh,Lucknow,Education,2025-10-12,Completed,63.07,81,9600.0,9074.63,4,4.0,No,2900.0,Individual,2
BEN-00689,35,Female,Delhi,New Delhi,Women Empowerment,2024-10-24,Dropped Out,73.6,106,21300.0,20375.6,6,1.0,No,0.0,None,2
BEN-00690,32,Female,Uttar Pradesh,Varanasi,Digital Literacy,2022-01-27,Completed,72.8,49,6600.0,6191.44,9,,No,0.0,None,1
BEN-00691,24,Male,Maharashtra,Nagpur,Education,2024-07-13,Completed,80.5,80,5400.0,4596.35,10,5.0,No,1700.0,Individual,2
BEN-00692,39,Female,Uttar Pradesh,Noida,Digital Literacy,2023-05-05,Completed,65.02,67,9400.0,8001.2,5,4.0,No,11100.0,Corporate,4
BEN-00693,17,Male,Uttar Pradesh,Kanpur,Health Awareness,2023-08-30,Completed,66.76,13,2000.0,1822.74,3,4.0,No,1500.0,Individual,1
BEN-00694,34,Male,Karnataka,Bangalore,Health Awareness,2023-12-06,Completed,69.9,11,2400.0,1880.97,5,3.0,No,0.0,None,0
BEN-00695,33,Male,Karnataka,Bangalore,Skill Development,2023-11-06,Completed,73.2,234,28400.0,24438.67,7,4.0,No,32100.0,CSR,2
BEN-00696,24,Female,Uttar Pradesh,Varanasi,Skill Development,2024-11-06,Completed,71.41,188,17200.0,13932.62,2,4.0,No,0.0,None,0
BEN-00697,31,Female,Uttar Pradesh,Kanpur,Digital Literacy,2025-03-25,Completed,90.21,48,9800.0,8207.67,10,5.0,No,0.0,None,4
BEN-00698,15,Female,Uttar Pradesh,Kanpur,Skill Development,2023-05-25,Completed,85.1,156,29000.0,22920.98,5,4.0,Yes,0.0,None,3
BEN-00699,37,Female,Uttar Pradesh,Kanpur,Education,2025-10-04,Completed,62.77,70,8300.0,7932.64,2,4.0,No,0.0,None,3
BEN-00700,26,Non-binary,West Bengal,Howrah,Women Empowerment,2025-10-20,Completed,73.67,129,15500.0,14310.78,4,4.0,No,15500.0,Government,1
BEN-00701,22,Female,Delhi,New Delhi,Education,2021-06-13,Completed,72.84,74,8500.0,7812.72,7,3.0,No,0.0,None,2
BEN-00702,38,Female,Maharashtra,Mumbai,Health Awareness,2021-03-06,Completed,53.28,12,3300.0,3164.58,5,4.0,No,3700.0,Corporate,2
BEN-00703,20,Female,Karnataka,Mysore,Women Empowerment,2023-11-10,Completed,73.78,139,19500.0,17541.69,9,4.0,Yes,0.0,None,3
BEN-00704,15,Male,Karnataka,Mysore,Digital Literacy,2024-07-25,Completed,69.86,53,9100.0,7962.37,6,3.0,No,10700.0,CSR,0
BEN-00705,15,Female,Karnataka,Bangalore,Health Awareness,2023-02-14,Completed,89.1,12,3400.0,3057.87,8,5.0,No,0.0,None,6
BEN-00706,34,Female,Uttar Pradesh,Lucknow,Education,2023-01-08,Completed,67.49,84,7500.0,7177.88,4,4.0,No,1600.0,Individual,1
BEN-00707,15,Female,Uttar Pradesh,Kanpur,Skill Development,2024-11-26,Completed,64.04,182,21500.0,19425.13,2,4.0,No,19500.0,Corporate,3
BEN-00708,45,Male,Delhi,South Delhi,Health Awareness,2024-08-10,Completed,78.2,13,3200.0,2724.62,9,4.0,No,2900.0,Corporate,0
BEN-00709,15,Female,Maharashtra,Mumbai,Skill Development,2022-06-16,Dropped Out,58.5,194,26700.0,25455.01,10,,No,2400.0,Individual,2
BEN-00710,44,Male,West Bengal,Kolkata,Digital Literacy,2025-08-17,Completed,90.77,57,10700.0,9589.68,1,,Yes,0.0,None,3
BEN-00711,30,Male,Delhi,New Delhi,Health Awareness,2024-11-28,Completed,74.24,14,2600.0,2472.52,10,3.0,No,2100.0,Corporate,1
BEN-00712,27,Female,West Bengal,Kolkata,Education,2023-07-25,Completed,90.56,84,5000.0,4210.24,6,5.0,No,0.0,None,2
BEN-00713,22,Male,Uttar Pradesh,Varanasi,Digital Literacy,2024-12-03,Completed,84.2,65,11700.0,9822.65,7,4.0,No,0.0,None,3
BEN-00714,31,Female,Karnataka,Bangalore,Education,2022-01-25,Completed,82.31,90,9100.0,7664.52,6,5.0,No,11700.0,CSR,3
BEN-00715,27,Male,Uttar Pradesh,Noida,Education,2024-01-20,Completed,73.05,74,7400.0,5656.34,8,3.0,No,7400.0,Government,2
BEN-00716,39,Female,West Bengal,Kolkata,Health Awareness,2022-06-20,Completed,68.36,13,2600.0,2006.99,7,4.0,No,0.0,None,3
BEN-00717,29,Female,Uttar Pradesh,Kanpur,Digital Literacy,2021-06-16,Completed,68.56,56,11600.0,9160.05,1,3.0,No,0.0,None,6
BEN-00718,29,Female,Maharashtra,Nagpur,Skill Development,2023-06-11,Completed,71.39,189,20400.0,17761.27,1,4.0,No,20400.0,Government,1
BEN-00719,24,Female,Karnataka,Bangalore,Skill Development,2022-05-06,Completed,66.22,194,25200.0,20727.41,2,4.0,No,2900.0,Individual,2
BEN-00720,27,Non-binary,Maharashtra,Nagpur,Skill Development,2024-09-25,Completed,88.66,187,21000.0,18587.65,1,5.0,Yes,1000.0,Individual,4
BEN-00721,31,Female,Maharashtra,Pune,Skill Development,2024-11-20,Completed,73.42,216,24500.0,21556.89,6,4.0,No,0.0,None,3
BEN-00722,15,Male,West Bengal,Howrah,Skill Development,2022-05-01,Completed,62.72,205,29400.0,24403.52,6,3.0,No,0.0,None,4
BEN-00723,15,Female,Maharashtra,Pune,Education,2021-04-14,Completed,71.89,76,5500.0,5201.66,5,,No,0.0,None,0
BEN-00724,35,Male,Delhi,South Delhi,Women Empowerment,2025-04-25,Completed,77.5,128,19000.0,17863.84,6,4.0,No,0.0,None,1
BEN-00725,29,Female,Uttar Pradesh,Kanpur,Digital Literacy,2021-01-10,Completed,68.29,58,11800.0,9593.41,3,4.0,No,0.0,None,3
BEN-00726,26,Female,Karnataka,Mysore,Skill Development,2023-06-21,Completed,77.7,193,16200.0,12707.81,7,3.0,No,0.0,None,5
BEN-00727,28,Female,Delhi,New Delhi,Education,2024-03-02,Completed,88.29,80,7300.0,5554.28,8,5.0,No,8800.0,CSR,4
BEN-00728,31,Male,Maharashtra,Nagpur,Health Awareness,2025-05-28,Completed,82.71,12,3000.0,2661.86,6,4.0,No,3400.0,CSR,3
BEN-00729,22,Female,Uttar Pradesh,Lucknow,Health Awareness,2025-06-22,Completed,80.04,12,2800.0,2479.7,6,4.0,No,1800.0,Individual,2
BEN-00730,20,Female,Maharashtra,Mumbai,Digital Literacy,2025-01-27,Completed,78.9,57,7100.0,5380.57,2,4.0,No,0.0,None,4
BEN-00731,29,Female,Uttar Pradesh,Noida,Education,2022-12-13,Completed,91.49,86,5200.0,4892.84,10,,No,5200.0,Government,1
BEN-00732,18,Male,Uttar Pradesh,Varanasi,Education,2025-01-21,Completed,76.95,78,6900.0,6363.54,7,4.0,No,6900.0,Government,1
BEN-00733,32,Female,Delhi,New Delhi,Skill Development,2022-12-12,Completed,64.66,186,17900.0,14734.08,6,4.0,No,0.0,None,4
BEN-00734,15,Male,Uttar Pradesh,Noida,Women Empowerment,2022-10-04,Completed,58.06,102,21000.0,19310.17,6,4.0,Yes,0.0,None,3
BEN-00735,38,Female,Uttar Pradesh,Noida,Skill Development,2024-05-22,Completed,67.09,219,28400.0,25970.16,1,4.0,No,0.0,None,4
BEN-00736,32,Male,Delhi,New Delhi,Women Empowerment,2024-11-27,Completed,94.97,120,20200.0,18570.02,9,5.0,No,0.0,None,2
BEN-00737,30,Male,Uttar Pradesh,Lucknow,Education,2021-07-26,Completed,83.88,81,6800.0,6107.07,9,5.0,No,6800.0,Government,2
BEN-00738,37,Female,Uttar Pradesh,Noida,Skill Development,2021-08-19,Completed,95.13,220,16300.0,13596.42,10,4.0,No,700.0,Individual,7
BEN-00739,44,Female,Uttar Pradesh,Lucknow,Women Empowerment,2025-04-14,Completed,93.87,114,20200.0,18407.26,2,5.0,No,23900.0,Corporate,0
BEN-00740,38,Female,Maharashtra,Pune,Skill Development,2025-07-18,Completed,74.85,172,26000.0,22354.32,5,4.0,No,0.0,None,2
BEN-00741,15,Female,Delhi,South Delhi,Women Empowerment,2024-08-14,Completed,66.15,120,13800.0,13816.32,9,3.0,No,15900.0,CSR,2
BEN-00742,15,Female,Delhi,South Delhi,Skill Development,2023-11-17,Completed,82.03,206,17900.0,16135.33,7,5.0,No,20100.0,Corporate,1
BEN-00743,21,Male,Uttar Pradesh,Varanasi,Skill Development,2025-06-30,Completed,77.15,194,25800.0,20634.27,10,,No,2000.0,Individual,2
BEN-00744,28,Female,Uttar Pradesh,Lucknow,Skill Development,2025-02-02,Completed,81.35,229,23900.0,24031.82,6,5.0,Yes,0.0,None,3
BEN-00745,33,Male,Uttar Pradesh,Noida,Skill Development,2024-07-09,Dropped Out,59.66,150,22300.0,21927.09,1,2.0,No,0.0,None,3
BEN-00746,20,Female,Maharashtra,Pune,Education,2023-05-07,Completed,83.39,88,5300.0,4893.11,1,,No,0.0,None,3
BEN-00747,29,Male,West Bengal,Howrah,Women Empowerment,2022-08-27,Completed,97.64,129,19000.0,17337.89,4,5.0,No,23300.0,CSR,4
BEN-00748,20,Female,Uttar Pradesh,Kanpur,Health Awareness,2023-10-31,Completed,72.51,12,2100.0,1987.42,4,4.0,No,0.0,None,6
BEN-00749,21,Female,Uttar Pradesh,Lucknow,Skill Development,2023-03-04,Completed,70.54,133,23000.0,21408.83,4,4.0,No,24900.0,CSR,3
BEN-00750,15,Female,Uttar Pradesh,Noida,Education,2023-06-12,Completed,74.19,90,9200.0,7494.54,8,3.0,No,9700.0,CSR,3
BEN-00751,18,Female,Delhi,South Delhi,Digital Literacy,2024-04-04,Dropped Out,55.78,53,8700.0,7753.46,7,2.0,No,7600.0,Corporate,3
BEN-00752,15,Female,Delhi,New Delhi,Skill Development,2022-06-20,Completed,82.33,189,29900.0,24461.81,10,5.0,Yes,0.0,None,5
BEN-00753,18,Male,Delhi,South Delhi,Education,2025-05-12,Completed,84.22,78,5200.0,4361.17,5,5.0,No,6600.0,CSR,2
BEN-00754,38,Male,Karnataka,Bangalore,Skill Development,2022-04-23,Completed,67.2,208,15800.0,13741.96,5,4.0,No,2500.0,Individual,2
BEN-00755,18,Female,Maharashtra,Nagpur,Health Awareness,2024-02-10,Completed,85.04,12,3100.0,2938.8,4,5.0,No,0.0,None,0
BEN-00756,54,Female,Uttar Pradesh,Noida,Skill Development,2025-02-24,Completed,85.93,217,15600.0,15536.78,2,4.0,Yes,0.0,None,4
BEN-00757,32,Female,Uttar Pradesh,Noida,Women Empowerment,2024-02-16,Completed,47.8,129,13500.0,10595.34,6,3.0,No,0.0,None,3
BEN-00758,29,Male,Delhi,South Delhi,Skill Development,2023-07-22,Completed,67.75,205,27100.0,19884.45,9,3.0,No,0.0,None,2
BEN-00759,19,Female,Delhi,New Delhi,Education,2024-01-31,Completed,81.93,83,8300.0,7458.73,9,5.0,No,8300.0,Government,1
BEN-00760,35,Male,Maharashtra,Mumbai,Skill Development,2025-07-04,Completed,87.25,178,21900.0,20634.02,2,4.0,Yes,0.0,None,3
BEN-00761,22,Non-binary,Delhi,New Delhi,Health Awareness,2025-12-20,Ongoing,91.42,11,2900.0,2340.55,6,,No,2200.0,Individual,0
BEN-00762,29,Male,Delhi,New Delhi,Women Empowerment,2024-09-21,Completed,85.88,130,23400.0,20476.63,8,4.0,No,23900.0,Corporate,4
BEN-00763,53,Female,Karnataka,Mysore,Education,2025-04-26,Completed,90.88,86,5700.0,5521.57,8,5.0,No,0.0,None,2
BEN-00764,27,Male,Maharashtra,Nagpur,Education,2021-03-04,Completed,92.89,85,7900.0,7147.04,10,4.0,No,0.0,None,2
BEN-00765,39,Male,Karnataka,Mysore,Women Empowerment,2025-08-12,Completed,62.07,113,24000.0,19860.81,1,3.0,Yes,0.0,None,1
BEN-00766,20,Female,Uttar Pradesh,Kanpur,Health Awareness,2025-11-08,Ongoing,80.97,13,1600.0,1447.59,6,,No,1600.0,Government,3
BEN-00767,27,Male,Delhi,New Delhi,Skill Development,2024-07-03,Completed,80.22,176,17100.0,15468.38,3,5.0,No,0.0,None,4
BEN-00768,45,Male,West Bengal,Howrah,Women Empowerment,2025-03-06,Completed,75.98,132,20500.0,19892.6,2,4.0,Yes,0.0,None,3
BEN-00769,21,Female,Maharashtra,Nagpur,Education,2024-03-31,Completed,95.38,77,7400.0,6573.43,10,4.0,No,0.0,None,3
BEN-00770,46,Female,Karnataka,Mysore,Skill Development,2023-03-03,Completed,77.17,233,28800.0,24183.31,10,3.0,No,0.0,None,2
BEN-00771,35,Female,Delhi,South Delhi,Education,2025-07-09,Completed,86.83,67,5200.0,5247.75,7,5.0,No,0.0,None,1
BEN-00772,22,Male,Uttar Pradesh,Varanasi,Health Awareness,2024-08-03,Completed,74.18,14,2900.0,2391.2,5,4.0,No,0.0,None,7
BEN-00773,34,Female,Maharashtra,Nagpur,Skill Development,2024-07-09,Completed,79.0,192,17000.0,13881.41,6,4.0,No,14700.0,Corporate,2
BEN-00774,37,Male,Uttar Pradesh,Kanpur,Health Awareness,2024-10-30,Completed,88.77,11,1800.0,1486.65,3,5.0,No,0.0,None,1
BEN-00775,34,Male,West Bengal,Howrah,Health Awareness,2025-07-13,Completed,83.04,12,1600.0,1229.84,1,4.0,No,1400.0,Corporate,4
BEN-00776,15,Male,Karnataka,Bangalore,Health Awareness,2025-02-06,Completed,82.98,11,2100.0,1693.82,6,4.0,No,2700.0,Individual,3
BEN-00777,20,Female,Uttar Pradesh,Lucknow,Skill Development,2022-09-26,Completed,66.53,198,26900.0,27367.94,10,4.0,No,26900.0,Government,0
BEN-00778,25,Male,Uttar Pradesh,Kanpur,Education,2024-01-18,Completed,88.19,74,7300.0,6890.56,3,4.0,No,8500.0,Corporate,1
BEN-00779,27,Female,Maharashtra,Nagpur,Digital Literacy,2025-12-08,Ongoing,69.11,55,7000.0,5882.2,10,,No,1800.0,Individual,4
BEN-00780,34,Female,Uttar Pradesh,Varanasi,Health Awareness,2024-06-02,Dropped Out,71.64,12,2700.0,2234.01,3,2.0,No,0.0,None,2
BEN-00781,29,Female,Uttar Pradesh,Varanasi,Health Awareness,2025-10-20,Completed,92.79,10,3100.0,2755.27,2,4.0,No,3400.0,CSR,4
BEN-00782,15,Female,Maharashtra,Mumbai,Education,2025-05-21,Completed,88.29,73,5500.0,4299.48,7,5.0,No,0.0,None,0
BEN-00783,31,Male,Maharashtra,Mumbai,Skill Development,2024-11-09,Completed,81.69,172,22500.0,23817.42,7,5.0,No,0.0,None,4
BEN-00784,34,Female,Uttar Pradesh,Noida,Health Awareness,2023-07-01,Completed,82.03,11,3100.0,2999.55,3,4.0,No,3100.0,Government,3
BEN-00785,33,Female,Karnataka,Bangalore,Education,2023-04-07,Completed,95.29,90,6100.0,5076.39,2,4.0,No,0.0,None,6
BEN-00786,38,Female,West Bengal,Howrah,Women Empowerment,2024-10-09,Completed,81.16,109,22500.0,19668.27,7,5.0,No,0.0,None,4
BEN-00787,36,Non-binary,Karnataka,Bangalore,Skill Development,2023-11-23,Completed,84.31,185,21400.0,15740.39,2,5.0,Yes,23800.0,Corporate,3
BEN-00788,32,Male,Karnataka,Bangalore,Education,2025-05-03,Completed,88.48,81,9100.0,7576.6,4,4.0,No,8200.0,CSR,4
BEN-00789,27,Male,Uttar Pradesh,Kanpur,Education,2025-03-15,Dropped Out,54.28,77,9900.0,9785.97,6,2.0,No,9900.0,Government,5
BEN-00790,15,Female,Uttar Pradesh,Kanpur,Skill Development,2023-04-22,Completed,85.49,244,25200.0,19193.9,1,4.0,Yes,0.0,None,2
BEN-00791,32,Female,Uttar Pradesh,Varanasi,Education,2024-12-29,Completed,69.39,78,6600.0,5801.19,9,4.0,No,6600.0,Government,4
BEN-00792,30,Non-binary,Karnataka,Bangalore,Women Empowerment,2024-03-02,Completed,71.51,124,24700.0,21523.89,2,3.0,No,1700.0,Individual,3
BEN-00793,30,Female,West Bengal,Howrah,Education,2023-05-14,Completed,76.12,87,7900.0,7283.64,1,4.0,No,7900.0,Government,5
BEN-00794,15,Female,Delhi,South Delhi,Skill Development,2023-10-21,Completed,80.59,218,17100.0,17231.29,1,5.0,Yes,0.0,None,4
BEN-00795,17,Male,Karnataka,Bangalore,Digital Literacy,2025-08-30,Completed,73.48,61,11000.0,9769.07,2,3.0,No,0.0,None,4
BEN-00796,38,Female,Delhi,South Delhi,Skill Development,2023-07-19,Completed,68.66,196,26900.0,21311.29,10,3.0,No,26900.0,Government,1
BEN-00797,27,Male,Maharashtra,Pune,Skill Development,2023-03-05,Completed,67.1,240,26500.0,24818.22,6,3.0,No,0.0,None,4
BEN-00798,34,Female,Maharashtra,Pune,Health Awareness,2023-07-05,Completed,61.11,11,2700.0,2135.74,10,3.0,No,3100.0,Corporate,0
BEN-00799,28,Female,Uttar Pradesh,Varanasi,Digital Literacy,2022-10-04,Completed,66.68,57,8000.0,7790.63,8,3.0,No,0.0,None,2
BEN-00800,28,Female,Uttar Pradesh,Varanasi,Education,2024-05-18,Completed,69.43,74,5600.0,4175.27,9,4.0,No,6500.0,CSR,5
BEN-00801,37,Female,Delhi,New Delhi,Skill Development,2022-04-28,Completed,71.82,165,17100.0,16206.98,1,3.0,No,0.0,None,4
BEN-00802,22,Male,Maharashtra,Mumbai,Women Empowerment,2025-05-27,Completed,71.97,129,17400.0,16858.46,5,3.0,No,17400.0,Government,4
BEN-00803,28,Male,Maharashtra,Pune,Skill Development,2022-10-28,Completed,73.87,153,25400.0,21568.96,6,,No,0.0,None,3
BEN-00804,23,Female,Maharashtra,Pune,Health Awareness,2024-08-05,Completed,91.52,11,2600.0,2392.17,2,4.0,No,1500.0,Individual,1
BEN-00805,23,Female,Uttar Pradesh,Kanpur,Digital Literacy,2022-02-28,Completed,63.22,58,8600.0,6462.77,10,4.0,No,9000.0,Corporate,3
BEN-00806,24,Male,Maharashtra,Pune,Digital Literacy,2025-12-06,Ongoing,78.72,73,11600.0,9689.57,9,,No,14100.0,CSR,5
BEN-00807,30,Male,Maharashtra,Nagpur,Skill Development,2023-12-29,Completed,73.09,163,15600.0,13783.67,8,3.0,No,0.0,None,4
BEN-00808,23,Female,Maharashtra,Pune,Education,2025-06-01,Completed,90.67,72,5500.0,5225.23,6,4.0,No,0.0,None,3
BEN-00809,40,Female,Karnataka,Bangalore,Digital Literacy,2025-03-26,Completed,52.27,59,11100.0,8784.25,4,4.0,No,0.0,None,3
BEN-00810,19,Female,Maharashtra,Pune,Skill Development,2025-01-13,Completed,71.26,196,24200.0,20851.42,1,4.0,No,0.0,None,3
